"id";"id_device";"id_type";"event_dt";"time";"latitude";"longitude";"altitude";"azimuth";"speed";"accelerometer";"fuel";"odometer";"movementsensor";"address";"satellitescount";"hdop";"batterylevel";"state";"from_archive";"odometer_forced";"fuel_expense";"odometer_calculated";"odometer_ext"
1555540;58369;0;"2012-05-24 07:17:04.802";"2012-05-24 07:16:51";56.005300;37.847167;168;30;42.00;;;22639421;1;"ул. Чехова, 37, Пушкино, Московская область, Российская Федерация";8;1;1;1;0;0;;0;
1555544;58369;0;"2012-05-24 07:17:15.792";"2012-05-24 07:17:05";56.005683;37.847700;167;39;48.00;;;22639475;1;"ул. Чехова, 37, Пушкино, Московская область, Российская Федерация";9;1;1;1;0;0;;0;
1555547;58369;0;"2012-05-24 07:17:27.802";"2012-05-24 07:17:17";56.007617;37.851017;166;44;43.00;;;22639719;1;"ул. Чехова, 11-13, Пушкино, Московская область, Российская Федерация";8;1;1;1;0;0;;0;
1555550;58369;0;"2012-05-24 07:17:46.818";"2012-05-24 07:17:36";56.008100;37.851833;165;43;30.00;;;22639794;1;"Пушкино, ул. Чехова, 9";9;1;1;1;0;0;;0;
1555553;58369;0;"2012-05-24 07:17:58.85";"2012-05-24 07:17:48";56.009633;37.855633;158;54;16.00;;;22640011;1;"ул. Чехова, Пушкино, Московская область, Российская Федерация";9;1;1;1;0;0;;0;
1555556;58369;0;"2012-05-24 07:18:18.831";"2012-05-24 07:18:08";56.011233;37.860767;160;61;38.00;;;22640085;1;"ул. Дзержинского, 7-8, Пушкино, Московская область, Российская Федерация";8;1;1;1;0;0;;0;
1555559;58369;0;"2012-05-24 07:18:29.843";"2012-05-24 07:18:19";56.011950;37.863583;163;65;19.00;;;22640277;1;"Пушкино, ул. Дзержинского, 9";8;1;1;1;0;0;;0;
1555560;58369;0;"2012-05-24 07:18:41.9";"2012-05-24 07:18:31";56.012533;37.868567;162;78;38.00;;;22640402;1;"Пушкино, ул. Дзержинского, 14";12;1;1;1;0;0;;0;
1555565;58369;0;"2012-05-24 07:18:57.052";"2012-05-24 07:18:46";56.012633;37.871800;161;87;32.00;;;22640604;1;"ул. Дзержинского, 32, Пушкино, Московская область, Российская Федерация";9;1;1;1;0;0;;0;
1555566;58369;0;"2012-05-24 07:19:06.871";"2012-05-24 07:18:56";56.019750;37.871617;168;359;43.00;;;22641195;1;"M8, Московская область, Российская Федерация";10;1;1;1;0;0;;0;
1555569;58369;0;"2012-05-24 07:19:16.87";"2012-05-24 07:19:06";56.021250;37.871500;168;358;40.00;;;22641363;1;"M8, Московская область, Российская Федерация";8;1;1;1;0;0;;0;
1555572;58369;0;"2012-05-24 07:19:35.9";"2012-05-24 07:19:25";56.023583;37.871333;169;358;52.00;;;22641456;1;"M8, Московская область, Российская Федерация";11;1;1;1;0;0;;0;
1555576;58369;0;"2012-05-24 07:19:55.941";"2012-05-24 07:19:46";56.025650;37.871200;170;358;82.00;;;22641685;1;"M8, Московская область, Российская Федерация";12;1;1;1;0;0;;0;
1555580;58369;0;"2012-05-24 07:20:13.932";"2012-05-24 07:20:04";56.029367;37.870933;172;358;99.00;;;22641870;1;"Лермонтовский пр., Московская область, Российская Федерация";9;1;1;1;0;0;;0;
1555583;58369;0;"2012-05-24 07:20:26.945";"2012-05-24 07:20:17";56.033650;37.870717;172;358;96.00;;;22641934;1;"M8, Московская область, Российская Федерация";10;1;1;1;0;0;;0;
1555585;58369;0;"2012-05-24 07:20:39.337";"2012-05-24 07:20:29";56.040217;37.870283;173;358;105.00;;;22642187;1;"Братовщина, Центральная ул., 1";8;1;1;1;0;0;;0;
1555588;58369;0;"2012-05-24 07:20:56.975";"2012-05-24 07:20:47";56.042900;37.870950;170;8;90.00;;;22642488;1;"Братовщина, Центральная ул., 1";10;1;1;1;0;0;;0;
1555592;58369;0;"2012-05-24 07:21:11.968";"2012-05-24 07:21:02";56.045650;37.873167;170;24;76.00;;;22642524;1;"Братовщина, Центральная ул., 10";10;1;1;1;0;0;;0;
