Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Пушкино - Кимры	09/10/2005 11:17:01 	4:59:15	306 km	61 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N56 00.259 E37 50.768	09/10/2005 11:17:01 	162 m
Trackpoint	N56 00.318 E37 50.830	09/10/2005 11:17:12 	168 m			127 m	0:00:11	42 kph	30° true
Trackpoint	N56 00.341 E37 50.862	09/10/2005 11:17:16 	167 m			54 m	0:00:04	48 kph	39° true
Trackpoint	N56 00.457 E37 51.061	09/10/2005 11:17:41 	166 m			298 m	0:00:25	43 kph	44° true
Trackpoint	N56 00.486 E37 51.110	09/10/2005 11:17:50 	165 m			75 m	0:00:09	30 kph	43° true
Trackpoint	N56 00.578 E37 51.338	09/10/2005 11:18:54 	158 m			292 m	0:01:04	16 kph	54° true
Trackpoint	N56 00.674 E37 51.646	09/10/2005 11:19:29 	160 m			366 m	0:00:35	38 kph	61° true
Trackpoint	N56 00.717 E37 51.815	09/10/2005 11:20:05 	163 m			192 m	0:00:36	19 kph	65° true
Trackpoint	N56 00.752 E37 52.114	09/10/2005 11:20:35 	162 m			317 m	0:00:30	38 kph	78° true
Trackpoint	N56 00.758 E37 52.308	09/10/2005 11:20:58 	161 m			202 m	0:00:23	32 kph	87° true
Trackpoint	N56 01.185 E37 52.297	09/10/2005 11:22:04 	168 m			793 m	0:01:06	43 kph	359° true
Trackpoint	N56 01.275 E37 52.290	09/10/2005 11:22:19 	168 m			168 m	0:00:15	40 kph	358° true
Trackpoint	N56 01.415 E37 52.280	09/10/2005 11:22:37 	169 m			261 m	0:00:18	52 kph	358° true
Trackpoint	N56 01.539 E37 52.272	09/10/2005 11:22:47 	170 m			229 m	0:00:10	82 kph	358° true
Trackpoint	N56 01.762 E37 52.256	09/10/2005 11:23:02 	172 m			414 m	0:00:15	99 kph	358° true
Trackpoint	N56 02.019 E37 52.243	09/10/2005 11:23:20 	172 m			478 m	0:00:18	96 kph	358° true
Trackpoint	N56 02.413 E37 52.217	09/10/2005 11:23:45 	173 m			731 m	0:00:25	105 kph	358° true
Trackpoint	N56 02.574 E37 52.257	09/10/2005 11:23:57 	170 m			301 m	0:00:12	90 kph	8° true
Trackpoint	N56 02.739 E37 52.390	09/10/2005 11:24:13 	170 m			337 m	0:00:16	76 kph	24° true
Trackpoint	N56 02.893 E37 52.520	09/10/2005 11:24:27 	173 m			315 m	0:00:14	81 kph	25° true
Trackpoint	N56 02.999 E37 52.645	09/10/2005 11:24:41 	167 m			235 m	0:00:14	61 kph	33° true
Trackpoint	N56 03.003 E37 52.651	09/10/2005 11:24:42 	167 m			10 m	0:00:01	37 kph	38° true
Trackpoint	N56 03.022 E37 52.641	09/10/2005 11:24:47 	166 m			35 m	0:00:05	26 kph	343° true
Trackpoint	N56 03.076 E37 52.517	09/10/2005 11:25:02 	165 m			163 m	0:00:15	39 kph	308° true
Trackpoint	N56 03.150 E37 52.386	09/10/2005 11:25:12 	165 m			192 m	0:00:10	69 kph	315° true
Trackpoint	N56 03.281 E37 52.296	09/10/2005 11:25:23 	165 m			262 m	0:00:11	86 kph	339° true
Trackpoint	N56 03.478 E37 52.173	09/10/2005 11:25:41 	166 m			387 m	0:00:18	77 kph	341° true
Trackpoint	N56 03.623 E37 52.038	09/10/2005 11:26:21 	167 m			304 m	0:00:40	27 kph	333° true
Trackpoint	N56 03.632 E37 52.019	09/10/2005 11:26:40 	167 m			25 m	0:00:19	5 kph	310° true
Trackpoint	N56 03.645 E37 51.984	09/10/2005 11:26:59 	167 m			43 m	0:00:19	8 kph	302° true
Trackpoint	N56 03.657 E37 51.936	09/10/2005 11:27:17 	167 m			55 m	0:00:18	11 kph	295° true
Trackpoint	N56 03.679 E37 51.837	09/10/2005 11:27:31 	166 m			111 m	0:00:14	28 kph	292° true
Trackpoint	N56 03.717 E37 51.672	09/10/2005 11:27:42 	168 m			185 m	0:00:11	61 kph	293° true
Trackpoint	N56 03.780 E37 51.266	09/10/2005 11:28:04 	170 m			436 m	0:00:22	71 kph	286° true
Trackpoint	N56 03.858 E37 50.757	09/10/2005 11:28:32 	168 m			546 m	0:00:28	70 kph	285° true
Trackpoint	N56 03.886 E37 50.577	09/10/2005 11:28:43 	169 m			194 m	0:00:11	64 kph	286° true
Trackpoint	N56 03.919 E37 50.363	09/10/2005 11:28:57 	175 m			230 m	0:00:14	59 kph	285° true
Trackpoint	N56 03.929 E37 50.291	09/10/2005 11:29:03 	175 m			76 m	0:00:06	46 kph	284° true
Trackpoint	N56 03.951 E37 50.265	09/10/2005 11:29:09 	175 m			50 m	0:00:06	30 kph	326° true
Trackpoint	N56 04.085 E37 50.263	09/10/2005 11:29:26 	176 m			249 m	0:00:17	53 kph	360° true
Trackpoint	N56 04.353 E37 50.258	09/10/2005 11:29:52 	175 m			497 m	0:00:26	69 kph	359° true
Trackpoint	N56 04.614 E37 50.255	09/10/2005 11:30:14 	177 m			484 m	0:00:22	79 kph	360° true
Trackpoint	N56 04.702 E37 50.254	09/10/2005 11:30:21 	172 m			164 m	0:00:07	84 kph	360° true
Trackpoint	N56 04.779 E37 50.249	09/10/2005 11:30:27 	172 m			143 m	0:00:06	86 kph	358° true
Trackpoint	N56 04.926 E37 50.252	09/10/2005 11:30:40 	175 m			272 m	0:00:13	75 kph	1° true
Trackpoint	N56 05.107 E37 50.220	09/10/2005 11:30:56 	172 m			338 m	0:00:16	76 kph	354° true
Trackpoint	N56 05.395 E37 50.095	09/10/2005 11:31:23 	179 m			548 m	0:00:27	73 kph	346° true
Trackpoint	N56 05.567 E37 50.019	09/10/2005 11:31:43 	183 m			330 m	0:00:20	59 kph	346° true
Trackpoint	N56 05.885 E37 49.873	09/10/2005 11:32:15 	191 m			609 m	0:00:32	68 kph	346° true
Trackpoint	N56 06.148 E37 49.751	09/10/2005 11:32:40 	193 m			503 m	0:00:25	72 kph	345° true
