Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Ïóøêèíî - Èñòðà - Íîâ.Èåðóñàëèì - ßõðîìà - Äìèòðîâ - Ñåðãèåâ Ïîñàä	02/10/2005 10:38:38 	3:48:04	276 km	73 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N56 00.442 E37 51.045	02/10/2005 10:38:38 	133 m
Trackpoint	N56 00.469 E37 51.077	02/10/2005 10:38:44 	135 m			61 m	0:00:06	36 kph	33° true
Trackpoint	N56 00.492 E37 51.121	02/10/2005 10:38:50 	138 m			62 m	0:00:06	37 kph	47° true
Trackpoint	N56 00.582 E37 51.349	02/10/2005 10:39:54 	149 m			290 m	0:01:04	16 kph	55° true
Trackpoint	N56 00.618 E37 51.459	02/10/2005 10:40:02 	151 m			133 m	0:00:08	60 kph	60° true
Trackpoint	N56 00.631 E37 51.495	02/10/2005 10:40:10 	153 m			43 m	0:00:08	20 kph	58° true
Trackpoint	N56 00.641 E37 51.524	02/10/2005 10:40:15 	154 m			36 m	0:00:05	26 kph	57° true
Trackpoint	N56 00.651 E37 51.552	02/10/2005 10:40:19 	155 m			34 m	0:00:04	31 kph	59° true
Trackpoint	N56 00.666 E37 51.605	02/10/2005 10:40:24 	157 m			62 m	0:00:05	45 kph	63° true
Trackpoint	N56 00.687 E37 51.687	02/10/2005 10:40:30 	160 m			94 m	0:00:06	56 kph	66° true
Trackpoint	N56 00.715 E37 51.804	02/10/2005 10:40:38 	162 m			131 m	0:00:08	59 kph	67° true
Trackpoint	N56 00.731 E37 51.897	02/10/2005 10:40:45 	162 m			102 m	0:00:07	52 kph	73° true
Trackpoint	N56 00.734 E37 51.922	02/10/2005 10:40:48 	162 m			26 m	0:00:03	31 kph	77° true
Trackpoint	N56 00.740 E37 51.966	02/10/2005 10:40:53 	161 m			47 m	0:00:05	34 kph	77° true
Trackpoint	N56 00.744 E37 51.998	02/10/2005 10:40:57 	161 m			35 m	0:00:04	31 kph	77° true
Trackpoint	N56 00.747 E37 52.033	02/10/2005 10:41:01 	161 m			36 m	0:00:04	33 kph	79° true
Trackpoint	N56 00.751 E37 52.086	02/10/2005 10:41:05 	160 m			56 m	0:00:04	51 kph	83° true
Trackpoint	N56 00.756 E37 52.190	02/10/2005 10:41:12 	159 m			108 m	0:00:07	55 kph	85° true
Trackpoint	N56 00.757 E37 52.293	02/10/2005 10:41:44 	160 m			107 m	0:00:32	12 kph	89° true
Trackpoint	N56 00.758 E37 52.314	02/10/2005 10:41:48 	161 m			22 m	0:00:04	20 kph	84° true
Trackpoint	N56 00.772 E37 52.326	02/10/2005 10:41:52 	161 m			28 m	0:00:04	25 kph	25° true
Trackpoint	N56 00.778 E37 52.325	02/10/2005 10:41:53 	161 m			11 m	0:00:01	40 kph	357° true
Trackpoint	N56 00.816 E37 52.320	02/10/2005 10:41:58 	162 m			71 m	0:00:05	51 kph	356° true
Trackpoint	N56 00.864 E37 52.316	02/10/2005 10:42:03 	163 m			89 m	0:00:05	64 kph	357° true
Trackpoint	N56 00.946 E37 52.310	02/10/2005 10:42:11 	164 m			152 m	0:00:08	69 kph	358° true
Trackpoint	N56 01.034 E37 52.304	02/10/2005 10:42:19 	164 m			163 m	0:00:08	73 kph	358° true
Trackpoint	N56 01.127 E37 52.297	02/10/2005 10:42:27 	163 m			174 m	0:00:08	78 kph	358° true
Trackpoint	N56 01.200 E37 52.294	02/10/2005 10:42:34 	163 m			134 m	0:00:07	69 kph	358° true
Trackpoint	N56 01.217 E37 52.294	02/10/2005 10:42:37 	163 m			33 m	0:00:03	40 kph	1° true
Trackpoint	N56 01.222 E37 52.295	02/10/2005 10:42:38 	163 m			8 m	0:00:01	29 kph	4° true
Trackpoint	N56 01.248 E37 52.290	02/10/2005 10:42:43 	163 m			49 m	0:00:05	35 kph	353° true
Trackpoint	N56 01.285 E37 52.288	02/10/2005 10:42:48 	163 m			69 m	0:00:05	50 kph	358° true
Trackpoint	N56 01.340 E37 52.284	02/10/2005 10:42:54 	164 m			103 m	0:00:06	62 kph	358° true
Trackpoint	N56 01.368 E37 52.281	02/10/2005 10:42:58 	164 m			51 m	0:00:04	46 kph	356° true
Trackpoint	N56 01.388 E37 52.279	02/10/2005 10:43:02 	164 m			37 m	0:00:04	33 kph	358° true
Trackpoint	N56 01.418 E37 52.278	02/10/2005 10:43:06 	164 m			56 m	0:00:04	50 kph	358° true
Trackpoint	N56 01.457 E37 52.275	02/10/2005 10:43:10 	164 m			72 m	0:00:04	65 kph	358° true
Trackpoint	N56 01.515 E37 52.271	02/10/2005 10:43:15 	163 m			108 m	0:00:05	78 kph	358° true
Trackpoint	N56 01.595 E37 52.265	02/10/2005 10:43:21 	164 m			148 m	0:00:06	89 kph	358° true
Trackpoint	N56 01.698 E37 52.257	02/10/2005 10:43:28 	164 m			192 m	0:00:07	99 kph	358° true
Trackpoint	N56 01.841 E37 52.249	02/10/2005 10:43:37 	165 m			265 m	0:00:09	106 kph	358° true
Trackpoint	N56 01.966 E37 52.242	02/10/2005 10:43:45 	165 m			232 m	0:00:08	105 kph	358° true
Trackpoint	N56 02.099 E37 52.233	02/10/2005 10:43:54 	165 m			247 m	0:00:09	99 kph	358° true
Trackpoint	N56 02.235 E37 52.224	02/10/2005 10:44:03 	165 m			254 m	0:00:09	102 kph	358° true
Trackpoint	N56 02.371 E37 52.214	02/10/2005 10:44:12 	165 m			252 m	0:00:09	101 kph	358° true
Trackpoint	N56 02.487 E37 52.216	02/10/2005 10:44:20 	165 m			216 m	0:00:08	97 kph	0° true
Trackpoint	N56 02.561 E37 52.243	02/10/2005 10:44:25 	165 m			139 m	0:00:05	100 kph	12° true
Trackpoint	N56 02.632 E37 52.294	02/10/2005 10:44:30 	164 m			143 m	0:00:05	103 kph	22° true
Trackpoint	N56 02.783 E37 52.422	02/10/2005 10:44:41 	167 m			309 m	0:00:11	101 kph	25° true
