Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	МКАД - M9 - Новый Иерусалим	04/03/2006 12:56:46 	0:55:06	63.0 km	69 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N55 50.524 E37 23.632	04/03/2006 12:56:46 	134 m
Trackpoint	N55 50.433 E37 23.685	04/03/2006 12:56:54 	141 m			177 m	0:00:08	80 kph	162° true
Trackpoint	N55 50.341 E37 23.722	04/03/2006 12:57:02 	149 m			174 m	0:00:08	78 kph	167° true
Trackpoint	N55 50.249 E37 23.744	04/03/2006 12:57:10 	154 m			172 m	0:00:08	77 kph	172° true
Trackpoint	N55 50.212 E37 23.749	04/03/2006 12:57:14 	155 m			69 m	0:00:04	62 kph	176° true
Trackpoint	N55 50.175 E37 23.752	04/03/2006 12:57:19 	156 m			70 m	0:00:05	50 kph	177° true
Trackpoint	N55 50.120 E37 23.752	04/03/2006 12:57:26 	157 m			101 m	0:00:07	52 kph	180° true
Trackpoint	N55 50.089 E37 23.750	04/03/2006 12:57:31 	156 m			57 m	0:00:05	41 kph	182° true
Trackpoint	N55 50.074 E37 23.747	04/03/2006 12:57:39 	156 m			29 m	0:00:08	13 kph	187° true
Trackpoint	N55 50.060 E37 23.744	04/03/2006 12:57:43 	155 m			25 m	0:00:04	23 kph	187° true
Trackpoint	N55 50.030 E37 23.738	04/03/2006 12:57:49 	154 m			56 m	0:00:06	33 kph	186° true
Trackpoint	N55 49.999 E37 23.730	04/03/2006 12:57:56 	153 m			58 m	0:00:07	30 kph	188° true
Trackpoint	N55 49.992 E37 23.729	04/03/2006 12:58:00 	153 m			14 m	0:00:04	13 kph	187° true
Trackpoint	N55 49.980 E37 23.726	04/03/2006 12:58:05 	152 m			22 m	0:00:05	16 kph	188° true
Trackpoint	N55 49.953 E37 23.718	04/03/2006 12:58:16 	151 m			51 m	0:00:11	17 kph	189° true
Trackpoint	N55 49.926 E37 23.709	04/03/2006 12:58:24 	149 m			51 m	0:00:08	23 kph	190° true
Trackpoint	N55 49.889 E37 23.697	04/03/2006 12:58:34 	146 m			69 m	0:00:10	25 kph	191° true
Trackpoint	N55 49.857 E37 23.686	04/03/2006 12:58:44 	144 m			61 m	0:00:10	22 kph	191° true
Trackpoint	N55 49.827 E37 23.677	04/03/2006 12:58:52 	142 m			57 m	0:00:08	26 kph	190° true
Trackpoint	N55 49.798 E37 23.668	04/03/2006 12:58:58 	141 m			55 m	0:00:06	33 kph	190° true
Trackpoint	N55 49.784 E37 23.664	04/03/2006 12:59:08 	140 m			26 m	0:00:10	9 kph	190° true
Trackpoint	N55 49.771 E37 23.660	04/03/2006 12:59:14 	140 m			24 m	0:00:06	14 kph	190° true
Trackpoint	N55 49.751 E37 23.654	04/03/2006 12:59:20 	139 m			39 m	0:00:06	23 kph	190° true
Trackpoint	N55 49.701 E37 23.638	04/03/2006 12:59:31 	137 m			94 m	0:00:11	31 kph	190° true
Trackpoint	N55 49.667 E37 23.627	04/03/2006 12:59:37 	136 m			63 m	0:00:06	38 kph	190° true
Trackpoint	N55 49.603 E37 23.612	04/03/2006 12:59:47 	131 m			120 m	0:00:10	43 kph	188° true
Trackpoint	N55 49.543 E37 23.602	04/03/2006 12:59:56 	127 m			112 m	0:00:09	45 kph	185° true
Trackpoint	N55 49.524 E37 23.599	04/03/2006 13:00:00 	127 m			35 m	0:00:04	32 kph	185° true
Trackpoint	N55 49.412 E37 23.574	04/03/2006 13:00:41 	126 m			208 m	0:00:41	18 kph	187° true
Trackpoint	N55 49.366 E37 23.560	04/03/2006 13:00:50 	126 m			88 m	0:00:09	35 kph	190° true
Trackpoint	N55 49.353 E37 23.556	04/03/2006 13:01:18 	127 m			23 m	0:00:28	3 kph	190° true
Trackpoint	N55 49.338 E37 23.552	04/03/2006 13:01:24 	127 m			28 m	0:00:06	17 kph	189° true
Trackpoint	N55 49.317 E37 23.545	04/03/2006 13:01:30 	127 m			40 m	0:00:06	24 kph	190° true
Trackpoint	N55 49.277 E37 23.533	04/03/2006 13:01:38 	127 m			75 m	0:00:08	34 kph	190° true
Trackpoint	N55 49.240 E37 23.521	04/03/2006 13:01:44 	128 m			71 m	0:00:06	43 kph	190° true
