Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Pushkino-Kashin-Tver	10/09/2005 10:09:41 	8:01:08	522 km	65 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N56 00.529 E37 51.192	10/09/2005 10:09:41 	146 m
Trackpoint	N56 00.552 E37 51.252	10/09/2005 10:09:48 	145 m			75 m	0:00:07	38 kph	57° true
Trackpoint	N56 00.578 E37 51.333	10/09/2005 10:09:54 	145 m			96 m	0:00:06	58 kph	60° true
Trackpoint	N56 00.630 E37 51.492	10/09/2005 10:10:13 	145 m			192 m	0:00:19	36 kph	60° true
Trackpoint	N56 00.642 E37 51.527	10/09/2005 10:10:18 	147 m			42 m	0:00:05	30 kph	59° true
Trackpoint	N56 00.649 E37 51.550	10/09/2005 10:10:21 	148 m			28 m	0:00:03	33 kph	60° true
Trackpoint	N56 00.669 E37 51.618	10/09/2005 10:10:27 	150 m			79 m	0:00:06	48 kph	63° true
Trackpoint	N56 00.697 E37 51.738	10/09/2005 10:10:36 	152 m			135 m	0:00:09	54 kph	67° true
Trackpoint	N56 00.715 E37 51.814	10/09/2005 10:10:42 	154 m			85 m	0:00:06	51 kph	68° true
Trackpoint	N56 00.736 E37 51.958	10/09/2005 10:10:57 	154 m			154 m	0:00:15	37 kph	75° true
Trackpoint	N56 00.744 E37 52.022	10/09/2005 10:11:03 	154 m			68 m	0:00:06	41 kph	78° true
Trackpoint	N56 00.751 E37 52.103	10/09/2005 10:11:11 	155 m			85 m	0:00:08	38 kph	81° true
Trackpoint	N56 00.755 E37 52.187	10/09/2005 10:11:18 	155 m			87 m	0:00:07	45 kph	85° true
Trackpoint	N56 00.757 E37 52.292	10/09/2005 10:11:26 	155 m			110 m	0:00:08	49 kph	89° true
Trackpoint	N56 00.760 E37 52.369	10/09/2005 10:11:32 	155 m			80 m	0:00:06	48 kph	86° true
Trackpoint	N56 00.761 E37 52.468	10/09/2005 10:11:39 	158 m			103 m	0:00:07	53 kph	89° true
Trackpoint	N56 00.756 E37 52.562	10/09/2005 10:11:45 	162 m			97 m	0:00:06	58 kph	95° true
Trackpoint	N56 00.745 E37 52.698	10/09/2005 10:11:53 	164 m			143 m	0:00:08	64 kph	98° true
Trackpoint	N56 00.731 E37 52.805	10/09/2005 10:11:59 	162 m			114 m	0:00:06	69 kph	103° true
Trackpoint	N56 00.708 E37 52.902	10/09/2005 10:12:05 	160 m			109 m	0:00:06	66 kph	114° true
Trackpoint	N56 00.699 E37 52.929	10/09/2005 10:12:07 	160 m			32 m	0:00:02	58 kph	120° true
Trackpoint	N56 00.674 E37 52.957	10/09/2005 10:12:11 	160 m			55 m	0:00:04	50 kph	148° true
Trackpoint	N56 00.651 E37 52.959	10/09/2005 10:12:14 	159 m			42 m	0:00:03	51 kph	177° true
Trackpoint	N56 00.605 E37 52.916	10/09/2005 10:12:27 	160 m			97 m	0:00:13	27 kph	207° true
Trackpoint	N56 00.573 E37 52.746	10/09/2005 10:12:42 	158 m			186 m	0:00:15	45 kph	252° true
Trackpoint	N56 00.576 E37 52.707	10/09/2005 10:12:47 	158 m			41 m	0:00:05	30 kph	278° true
Trackpoint	N56 00.590 E37 52.680	10/09/2005 10:12:52 	158 m			38 m	0:00:05	27 kph	312° true
Trackpoint	N56 00.606 E37 52.670	10/09/2005 10:12:56 	158 m			32 m	0:00:04	28 kph	340° true
Trackpoint	N56 00.611 E37 52.669	10/09/2005 10:12:57 	158 m			9 m	0:00:01	33 kph	355° true
Trackpoint	N56 00.644 E37 52.667	10/09/2005 10:13:02 	159 m			62 m	0:00:05	45 kph	358° true
Trackpoint	N56 00.676 E37 52.669	10/09/2005 10:13:05 	159 m			59 m	0:00:03	70 kph	2° true
Trackpoint	N56 00.737 E37 52.679	10/09/2005 10:13:10 	159 m			114 m	0:00:05	82 kph	5° true
Trackpoint	N56 00.804 E37 52.697	10/09/2005 10:13:16 	161 m			126 m	0:00:06	76 kph	9° true
Trackpoint	N56 00.858 E37 52.718	10/09/2005 10:13:22 	163 m			102 m	0:00:06	61 kph	12° true
Trackpoint	N56 00.915 E37 52.746	10/09/2005 10:13:28 	164 m			109 m	0:00:06	65 kph	15° true
Trackpoint	N56 00.999 E37 52.792	10/09/2005 10:13:36 	165 m			163 m	0:00:08	73 kph	17° true
Trackpoint	N56 01.093 E37 52.845	10/09/2005 10:13:45 	165 m			183 m	0:00:09	73 kph	17° true
Trackpoint	N56 01.158 E37 52.880	10/09/2005 10:13:52 	165 m			127 m	0:00:07	65 kph	17° true
Trackpoint	N56 01.213 E37 52.909	10/09/2005 10:13:57 	165 m			107 m	0:00:05	77 kph	17° true
Trackpoint	N56 01.288 E37 52.951	10/09/2005 10:14:03 	165 m			145 m	0:00:06	87 kph	18° true
Trackpoint	N56 01.384 E37 53.005	10/09/2005 10:14:10 	166 m			187 m	0:00:07	96 kph	17° true
Trackpoint	N56 01.489 E37 53.061	10/09/2005 10:14:17 	167 m			203 m	0:00:07	104 kph	17° true
Trackpoint	N56 01.618 E37 53.128	10/09/2005 10:14:25 	168 m			250 m	0:00:08	112 kph	16° true
Trackpoint	N56 01.769 E37 53.205	10/09/2005 10:14:34 	168 m			291 m	0:00:09	116 kph	16° true
Trackpoint	N56 01.998 E37 53.321	10/09/2005 10:14:48 	168 m			442 m	0:00:14	114 kph	16° true
Trackpoint	N56 02.101 E37 53.372	10/09/2005 10:14:55 	168 m			198 m	0:00:07	102 kph	16° true
Trackpoint	N56 02.239 E37 53.442	10/09/2005 10:15:04 	168 m			266 m	0:00:09	107 kph	16° true
Trackpoint	N56 02.361 E37 53.504	10/09/2005 10:15:12 	166 m			236 m	0:00:08	106 kph	16° true
Trackpoint	N56 02.514 E37 53.585	10/09/2005 10:15:22 	162 m			296 m	0:00:10	107 kph	16° true
Trackpoint	N56 02.614 E37 53.630	10/09/2005 10:15:28 	161 m			191 m	0:00:06	115 kph	14° true
Trackpoint	N56 02.773 E37 53.693	10/09/2005 10:15:37 	161 m			302 m	0:00:09	121 kph	12° true
Trackpoint	N56 02.873 E37 53.732	10/09/2005 10:15:43 	161 m			190 m	0:00:06	114 kph	12° true
Trackpoint	N56 03.036 E37 53.794	10/09/2005 10:15:53 	162 m			309 m	0:00:10	111 kph	12° true
Trackpoint	N56 03.184 E37 53.853	10/09/2005 10:16:02 	167 m			281 m	0:00:09	113 kph	13° true
Trackpoint	N56 03.290 E37 53.897	10/09/2005 10:16:09 	172 m			201 m	0:00:07	103 kph	13° true
Trackpoint	N56 03.358 E37 53.927	10/09/2005 10:16:14 	175 m			131 m	0:00:05	94 kph	14° true
Trackpoint	N56 03.400 E37 53.944	10/09/2005 10:16:18 	177 m			78 m	0:00:04	70 kph	13° true
Trackpoint	N56 03.482 E37 53.977	10/09/2005 10:16:27 	180 m			157 m	0:00:09	63 kph	13° true
Trackpoint	N56 03.550 E37 54.004	10/09/2005 10:16:34 	182 m			129 m	0:00:07	67 kph	12° true
Trackpoint	N56 03.672 E37 54.052	10/09/2005 10:16:46 	185 m			231 m	0:00:12	69 kph	13° true
Trackpoint	N56 03.763 E37 54.089	10/09/2005 10:16:54 	185 m			174 m	0:00:08	78 kph	13° true
Trackpoint	N56 03.860 E37 54.126	10/09/2005 10:17:02 	185 m			184 m	0:00:08	83 kph	12° true
Trackpoint	N56 03.952 E37 54.160	10/09/2005 10:17:09 	185 m			174 m	0:00:07	89 kph	12° true
Trackpoint	N56 04.078 E37 54.210	10/09/2005 10:17:18 	182 m			241 m	0:00:09	96 kph	12° true
Trackpoint	N56 04.209 E37 54.267	10/09/2005 10:17:27 	179 m			249 m	0:00:09	99 kph	14° true
Trackpoint	N56 04.276 E37 54.311	10/09/2005 10:17:32 	178 m			133 m	0:00:05	96 kph	20° true
Trackpoint	N56 04.337 E37 54.364	10/09/2005 10:17:37 	178 m			126 m	0:00:05	91 kph	26° true
Trackpoint	N56 04.394 E37 54.429	10/09/2005 10:17:42 	178 m			126 m	0:00:05	91 kph	33° true
Trackpoint	N56 04.463 E37 54.527	10/09/2005 10:17:48 	177 m			163 m	0:00:06	98 kph	38° true
Trackpoint	N56 04.512 E37 54.584	10/09/2005 10:17:52 	176 m			109 m	0:00:04	98 kph	33° true
Trackpoint	N56 04.599 E37 54.689	10/09/2005 10:17:59 	175 m			194 m	0:00:07	100 kph	34° true
Trackpoint	N56 04.680 E37 54.800	10/09/2005 10:18:06 	174 m			189 m	0:00:07	97 kph	38° true
Trackpoint	N56 04.715 E37 54.853	10/09/2005 10:18:10 	174 m			85 m	0:00:04	76 kph	40° true
Trackpoint	N56 04.788 E37 54.963	10/09/2005 10:18:19 	174 m			176 m	0:00:09	71 kph	40° true
Trackpoint	N56 04.868 E37 55.084	10/09/2005 10:18:29 	174 m			195 m	0:00:10	70 kph	40° true
Trackpoint	N56 04.946 E37 55.201	10/09/2005 10:18:38 	174 m			189 m	0:00:09	75 kph	40° true
Trackpoint	N56 04.984 E37 55.257	10/09/2005 10:18:43 	174 m			91 m	0:00:05	66 kph	40° true
Trackpoint	N56 05.045 E37 55.351	10/09/2005 10:18:52 	174 m			149 m	0:00:09	60 kph	41° true
Trackpoint	N56 05.101 E37 55.444	10/09/2005 10:19:00 	173 m			141 m	0:00:08	63 kph	43° true
Trackpoint	N56 05.158 E37 55.534	10/09/2005 10:19:07 	174 m			142 m	0:00:07	73 kph	42° true
Trackpoint	N56 05.226 E37 55.642	10/09/2005 10:19:15 	175 m			168 m	0:00:08	76 kph	42° true
Trackpoint	N56 05.247 E37 55.674	10/09/2005 10:19:18 	175 m			51 m	0:00:03	61 kph	40° true
Trackpoint	N56 05.265 E37 55.703	10/09/2005 10:19:22 	175 m			46 m	0:00:04	41 kph	42° true
Trackpoint	N56 05.290 E37 55.745	10/09/2005 10:19:29 	175 m			64 m	0:00:07	33 kph	43° true
Trackpoint	N56 05.322 E37 55.797	10/09/2005 10:19:37 	174 m			79 m	0:00:08	35 kph	43° true
Trackpoint	N56 05.357 E37 55.855	10/09/2005 10:19:44 	174 m			88 m	0:00:07	45 kph	43° true
Trackpoint	N56 05.396 E37 55.921	10/09/2005 10:19:51 	173 m			100 m	0:00:07	51 kph	43° true
Trackpoint	N56 05.430 E37 55.978	10/09/2005 10:19:56 	172 m			87 m	0:00:05	63 kph	43° true
Trackpoint	N56 05.485 E37 56.070	10/09/2005 10:20:03 	171 m			138 m	0:00:07	71 kph	43° true
Trackpoint	N56 05.592 E37 56.250	10/09/2005 10:20:16 	170 m			273 m	0:00:13	76 kph	43° true
Trackpoint	N56 05.639 E37 56.329	10/09/2005 10:20:22 	170 m			119 m	0:00:06	72 kph	43° true
Trackpoint	N56 05.716 E37 56.458	10/09/2005 10:20:32 	171 m			196 m	0:00:10	71 kph	43° true
Trackpoint	N56 05.786 E37 56.574	10/09/2005 10:20:40 	172 m			177 m	0:00:08	80 kph	43° true
Trackpoint	N56 05.887 E37 56.743	10/09/2005 10:20:51 	174 m			256 m	0:00:11	84 kph	43° true
Trackpoint	N56 05.967 E37 56.877	10/09/2005 10:21:00 	176 m			204 m	0:00:09	81 kph	43° true
Trackpoint	N56 06.032 E37 56.986	10/09/2005 10:21:08 	177 m			165 m	0:00:08	74 kph	43° true
Trackpoint	N56 06.083 E37 57.071	10/09/2005 10:21:15 	177 m			128 m	0:00:07	66 kph	43° true
Trackpoint	N56 06.148 E37 57.180	10/09/2005 10:21:24 	178 m			166 m	0:00:09	66 kph	43° true
Trackpoint	N56 06.202 E37 57.270	10/09/2005 10:21:31 	178 m			136 m	0:00:07	70 kph	43° true
Trackpoint	N56 06.260 E37 57.367	10/09/2005 10:21:39 	178 m			147 m	0:00:08	66 kph	43° true
Trackpoint	N56 06.323 E37 57.474	10/09/2005 10:21:47 	178 m			162 m	0:00:08	73 kph	43° true
Trackpoint	N56 06.395 E37 57.595	10/09/2005 10:21:55 	179 m			183 m	0:00:08	82 kph	43° true
Trackpoint	N56 06.482 E37 57.741	10/09/2005 10:22:04 	180 m			221 m	0:00:09	88 kph	43° true
Trackpoint	N56 06.596 E37 57.924	10/09/2005 10:22:15 	184 m			284 m	0:00:11	93 kph	42° true
Trackpoint	N56 06.682 E37 58.047	10/09/2005 10:22:23 	186 m			205 m	0:00:08	92 kph	39° true
Trackpoint	N56 06.772 E37 58.167	10/09/2005 10:22:31 	188 m			208 m	0:00:08	93 kph	37° true
Trackpoint	N56 06.848 E37 58.269	10/09/2005 10:22:37 	189 m			176 m	0:00:06	106 kph	37° true
Trackpoint	N56 06.940 E37 58.392	10/09/2005 10:22:44 	189 m			214 m	0:00:07	110 kph	37° true
Trackpoint	N56 07.023 E37 58.503	10/09/2005 10:22:51 	188 m			192 m	0:00:07	99 kph	37° true
Trackpoint	N56 07.102 E37 58.608	10/09/2005 10:22:57 	186 m			181 m	0:00:06	109 kph	37° true
Trackpoint	N56 07.188 E37 58.723	10/09/2005 10:23:03 	181 m			200 m	0:00:06	120 kph	37° true
Trackpoint	N56 07.294 E37 58.866	10/09/2005 10:23:10 	173 m			247 m	0:00:07	127 kph	37° true
Trackpoint	N56 07.412 E37 59.022	10/09/2005 10:23:18 	166 m			271 m	0:00:08	122 kph	37° true
Trackpoint	N56 07.541 E37 59.194	10/09/2005 10:23:28 	163 m			299 m	0:00:10	107 kph	37° true
Trackpoint	N56 07.632 E37 59.314	10/09/2005 10:23:35 	164 m			209 m	0:00:07	108 kph	37° true
Trackpoint	N56 07.771 E37 59.505	10/09/2005 10:23:46 	164 m			326 m	0:00:11	107 kph	37° true
Trackpoint	N56 07.889 E37 59.668	10/09/2005 10:23:56 	165 m			276 m	0:00:10	99 kph	38° true
Trackpoint	N56 08.059 E37 59.904	10/09/2005 10:24:11 	166 m			398 m	0:00:15	96 kph	38° true
Trackpoint	N56 08.167 E38 00.054	10/09/2005 10:24:21 	166 m			254 m	0:00:10	92 kph	38° true
Trackpoint	N56 08.247 E38 00.166	10/09/2005 10:24:29 	169 m			189 m	0:00:08	85 kph	38° true
Trackpoint	N56 08.283 E38 00.215	10/09/2005 10:24:34 	170 m			84 m	0:00:05	60 kph	37° true
Trackpoint	N56 08.322 E38 00.268	10/09/2005 10:24:41 	172 m			90 m	0:00:07	46 kph	37° true
Trackpoint	N56 08.361 E38 00.320	10/09/2005 10:24:47 	174 m			91 m	0:00:06	55 kph	37° true
Trackpoint	N56 08.408 E38 00.378	10/09/2005 10:24:54 	178 m			105 m	0:00:07	54 kph	34° true
Trackpoint	N56 08.445 E38 00.421	10/09/2005 10:25:01 	181 m			83 m	0:00:07	43 kph	32° true
Trackpoint	N56 08.495 E38 00.471	10/09/2005 10:25:09 	184 m			105 m	0:00:08	47 kph	29° true
