Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Pushkino-Taldom-Hot'kovo	28/08/2005 14:24:57 	4:57:56	296 km	60 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N56 00.503 E37 51.140	28/08/2005 14:24:57 	148 m
Trackpoint	N56 00.508 E37 51.149	28/08/2005 14:25:02 	149 m			13 m	0:00:05	9 kph	43° true
Trackpoint	N56 00.509 E37 51.151	28/08/2005 14:25:09 	151 m			4 m	0:00:07	2 kph	44° true
Trackpoint	N56 00.600 E37 51.404	28/08/2005 14:25:42 	147 m			311 m	0:00:33	34 kph	57° true
Trackpoint	N56 00.615 E37 51.450	28/08/2005 14:25:47 	147 m			55 m	0:00:05	40 kph	60° true
Trackpoint	N56 00.623 E37 51.474	28/08/2005 14:25:57 	146 m			30 m	0:00:10	11 kph	59° true
Trackpoint	N56 00.631 E37 51.497	28/08/2005 14:26:04 	146 m			28 m	0:00:07	14 kph	58° true
Trackpoint	N56 00.638 E37 51.514	28/08/2005 14:26:10 	147 m			22 m	0:00:06	13 kph	54° true
Trackpoint	N56 00.646 E37 51.535	28/08/2005 14:26:17 	148 m			26 m	0:00:07	13 kph	56° true
Trackpoint	N56 00.657 E37 51.569	28/08/2005 14:26:22 	149 m			41 m	0:00:05	29 kph	60° true
Trackpoint	N56 00.672 E37 51.626	28/08/2005 14:26:28 	150 m			66 m	0:00:06	40 kph	64° true
Trackpoint	N56 00.694 E37 51.715	28/08/2005 14:26:36 	152 m			101 m	0:00:08	45 kph	66° true
Trackpoint	N56 00.711 E37 51.781	28/08/2005 14:26:42 	153 m			75 m	0:00:06	45 kph	66° true
Trackpoint	N56 00.737 E37 51.924	28/08/2005 14:27:14 	153 m			156 m	0:00:32	18 kph	72° true
Trackpoint	N56 00.740 E37 51.953	28/08/2005 14:27:19 	153 m			31 m	0:00:05	22 kph	78° true
Trackpoint	N56 00.749 E37 52.033	28/08/2005 14:27:29 	153 m			84 m	0:00:10	30 kph	80° true
Trackpoint	N56 00.751 E37 52.081	28/08/2005 14:27:33 	153 m			50 m	0:00:04	45 kph	85° true
Trackpoint	N56 00.755 E37 52.170	28/08/2005 14:27:39 	153 m			93 m	0:00:06	56 kph	86° true
Trackpoint	N56 00.757 E37 52.248	28/08/2005 14:27:45 	151 m			81 m	0:00:06	49 kph	88° true
Trackpoint	N56 00.757 E37 52.291	28/08/2005 14:28:00 	151 m			44 m	0:00:15	11 kph	90° true
Trackpoint	N56 00.757 E37 52.303	28/08/2005 14:28:02 	151 m			12 m	0:00:02	22 kph	90° true
Trackpoint	N56 00.745 E37 52.324	28/08/2005 14:28:06 	152 m			31 m	0:00:04	28 kph	133° true
Trackpoint	N56 00.740 E37 52.327	28/08/2005 14:28:07 	152 m			11 m	0:00:01	39 kph	166° true
Trackpoint	N56 00.695 E37 52.340	28/08/2005 14:28:13 	153 m			84 m	0:00:06	51 kph	171° true
Trackpoint	N56 00.631 E37 52.361	28/08/2005 14:28:20 	154 m			120 m	0:00:07	62 kph	170° true
Trackpoint	N56 00.528 E37 52.392	28/08/2005 14:28:31 	154 m			193 m	0:00:11	63 kph	170° true
Trackpoint	N56 00.501 E37 52.400	28/08/2005 14:28:35 	154 m			51 m	0:00:04	46 kph	171° true
Trackpoint	N56 00.493 E37 52.410	28/08/2005 14:28:38 	153 m			19 m	0:00:03	23 kph	146° true
Trackpoint	N56 00.495 E37 52.420	28/08/2005 14:28:40 	153 m			11 m	0:00:02	20 kph	70° true
Trackpoint	N56 00.511 E37 52.465	28/08/2005 14:28:47 	152 m			55 m	0:00:07	28 kph	57° true
Trackpoint	N56 00.527 E37 52.516	28/08/2005 14:28:52 	152 m			61 m	0:00:05	44 kph	61° true
Trackpoint	N56 00.542 E37 52.568	28/08/2005 14:28:58 	152 m			61 m	0:00:06	36 kph	63° true
Trackpoint	N56 00.544 E37 52.577	28/08/2005 14:29:01 	152 m			10 m	0:00:03	12 kph	62° true
