Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track 000	03/11/2024 18:44:07 	0:41:14	22.8 km	33 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N59 56.383 E30 29.640	03/11/2024 18:44:07 	9 m
Trackpoint	N59 56.380 E30 29.640	03/11/2024 18:44:08 	8 m			4 m	0:00:01	15 kph	179° true
Trackpoint	N59 56.385 E30 29.640	03/11/2024 18:44:09 	12 m			9 m	0:00:01	34 kph	359° true
Trackpoint	N59 56.386 E30 29.640	03/11/2024 18:44:10 	12 m			2 m	0:00:01	7 kph	339° true
Trackpoint	N59 56.385 E30 29.640	03/11/2024 18:44:15 	11 m			1 m	0:00:05	0.9 kph	180° true
Trackpoint	N59 56.385 E30 29.641	03/11/2024 18:44:22 	13 m			2 m	0:00:07	0.9 kph	135° true
Trackpoint	N59 56.384 E30 29.640	03/11/2024 18:44:32 	15 m			2 m	0:00:10	0.8 kph	204° true
Trackpoint	N59 56.384 E30 29.640	03/11/2024 18:44:35 	16 m			1 m	0:00:03	1.0 kph	14° true
Trackpoint	N59 56.385 E30 29.640	03/11/2024 18:44:36 	16 m			1 m	0:00:01	5 kph	10° true
Trackpoint	N59 56.388 E30 29.641	03/11/2024 18:45:02 	16 m			6 m	0:00:26	0.8 kph	1° true
Trackpoint	N59 56.388 E30 29.639	03/11/2024 18:45:22 	18 m			1 m	0:00:20	0.2 kph	270° true
Trackpoint	N59 56.387 E30 29.638	03/11/2024 18:45:34 	22 m			2 m	0:00:12	0.5 kph	214° true
Trackpoint	N59 56.388 E30 29.641	03/11/2024 18:45:55 	24 m			3 m	0:00:21	0.4 kph	48° true
Trackpoint	N59 56.388 E30 29.640	03/11/2024 18:46:03 	21 m			0 m	0:00:08	0 kph	270° true
Trackpoint	N59 56.391 E30 29.640	03/11/2024 18:46:08 	20 m			5 m	0:00:05	3 kph	357° true
Trackpoint	N59 56.392 E30 29.638	03/11/2024 18:46:11 	19 m			3 m	0:00:03	3 kph	318° true
Trackpoint	N59 56.392 E30 29.662	03/11/2024 18:46:19 	18 m			22 m	0:00:08	10 kph	91° true
Trackpoint	N59 56.391 E30 29.665	03/11/2024 18:46:20 	17 m			4 m	0:00:01	13 kph	104° true
Trackpoint	N59 56.394 E30 29.680	03/11/2024 18:46:26 	18 m			14 m	0:00:06	8 kph	70° true
Trackpoint	N59 56.394 E30 29.680	03/11/2024 18:46:27 	18 m			1 m	0:00:01	3 kph	7° true
Trackpoint	N59 56.399 E30 29.665	03/11/2024 18:46:32 	19 m			17 m	0:00:05	12 kph	302° true
Trackpoint	N59 56.402 E30 29.626	03/11/2024 18:46:36 	19 m			36 m	0:00:04	32 kph	278° true
Trackpoint	N59 56.409 E30 29.526	03/11/2024 18:46:44 	18 m			94 m	0:00:08	42 kph	278° true
Trackpoint	N59 56.415 E30 29.446	03/11/2024 18:46:51 	19 m			75 m	0:00:07	39 kph	278° true
Trackpoint	N59 56.419 E30 29.394	03/11/2024 18:46:56 	19 m			49 m	0:00:05	35 kph	280° true
Trackpoint	N59 56.421 E30 29.360	03/11/2024 18:47:02 	20 m			32 m	0:00:06	19 kph	274° true
Trackpoint	N59 56.414 E30 29.352	03/11/2024 18:47:06 	20 m			14 m	0:00:04	13 kph	215° true
Trackpoint	N59 56.407 E30 29.350	03/11/2024 18:47:08 	20 m			14 m	0:00:02	25 kph	188° true
Trackpoint	N59 56.385 E30 29.345	03/11/2024 18:47:12 	22 m			41 m	0:00:04	37 kph	186° true
Trackpoint	N59 56.348 E30 29.334	03/11/2024 18:47:17 	23 m			68 m	0:00:05	49 kph	188° true
Trackpoint	N59 56.332 E30 29.329	03/11/2024 18:47:19 	23 m			31 m	0:00:02	56 kph	188° true
Trackpoint	N59 56.323 E30 29.329	03/11/2024 18:47:20 	28 m			17 m	0:00:01	61 kph	180° true
Trackpoint	N59 56.305 E30 29.325	03/11/2024 18:47:22 	31 m			33 m	0:00:02	59 kph	187° true
Trackpoint	N59 56.268 E30 29.313	03/11/2024 18:47:27 	30 m			70 m	0:00:05	50 kph	189° true
Trackpoint	N59 56.249 E30 29.307	03/11/2024 18:47:31 	32 m			36 m	0:00:04	32 kph	188° true
Trackpoint	N59 56.237 E30 29.304	03/11/2024 18:47:35 	34 m			21 m	0:00:04	19 kph	188° true
Trackpoint	N59 56.225 E30 29.300	03/11/2024 18:47:40 	30 m			23 m	0:00:05	17 kph	189° true
Trackpoint	N59 56.220 E30 29.298	03/11/2024 18:47:45 	27 m			9 m	0:00:05	6 kph	192° true
Trackpoint	N59 56.221 E30 29.298	03/11/2024 18:47:51 	26 m			1 m	0:00:06	0.8 kph	346° true
Trackpoint	N59 56.223 E30 29.299	03/11/2024 18:47:58 	24 m			3 m	0:00:07	1.4 kph	16° true
Trackpoint	N59 56.223 E30 29.298	03/11/2024 18:48:12 	26 m			0 m	0:00:14	0 kph	333° true
Trackpoint	N59 56.223 E30 29.298	03/11/2024 18:48:15 	25 m			1 m	0:00:03	1.1 kph	243° true
Trackpoint	N59 56.223 E30 29.296	03/11/2024 18:48:21 	22 m			2 m	0:00:06	0.9 kph	304° true
Trackpoint	N59 56.219 E30 29.294	03/11/2024 18:48:30 	21 m			7 m	0:00:09	3 kph	196° true
Trackpoint	N59 56.216 E30 29.293	03/11/2024 18:48:35 	24 m			6 m	0:00:05	5 kph	191° true
Trackpoint	N59 56.214 E30 29.292	03/11/2024 18:48:37 	25 m			4 m	0:00:02	7 kph	189° true
Trackpoint	N59 56.209 E30 29.291	03/11/2024 18:48:43 	26 m			9 m	0:00:06	6 kph	187° true
Trackpoint	N59 56.203 E30 29.289	03/11/2024 18:48:50 	26 m			12 m	0:00:07	6 kph	188° true
Trackpoint	N59 56.192 E30 29.287	03/11/2024 18:48:59 	33 m			20 m	0:00:09	8 kph	185° true
