Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	10-jun-04	11/06/2004 09:34:01 	2:06:08	149 km	71 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N60 03.157 E30 22.913	11/06/2004 09:34:01 	3 m
Trackpoint	N60 03.238 E30 22.977	11/06/2004 09:34:08 	4 m			162 m	0:00:07	83 kph	22° true
Trackpoint	N60 03.350 E30 23.076	11/06/2004 09:34:20 	4 m			227 m	0:00:12	68 kph	24° true
Trackpoint	N60 03.454 E30 23.182	11/06/2004 09:34:31 	5 m			215 m	0:00:11	70 kph	27° true
Trackpoint	N60 03.502 E30 23.293	11/06/2004 09:34:38 	5 m			137 m	0:00:07	70 kph	49° true
Trackpoint	N60 03.539 E30 23.449	11/06/2004 09:34:46 	5 m			161 m	0:00:08	72 kph	65° true
Trackpoint	N60 03.536 E30 23.547	11/06/2004 09:34:51 	5 m			91 m	0:00:05	65 kph	94° true
Trackpoint	N60 03.533 E30 23.567	11/06/2004 09:34:52 	5 m			19 m	0:00:01	68 kph	104° true
Trackpoint	N60 03.523 E30 23.622	11/06/2004 09:34:55 	5 m			55 m	0:00:03	65 kph	110° true
Trackpoint	N60 03.505 E30 23.671	11/06/2004 09:34:58 	5 m			57 m	0:00:03	68 kph	127° true
Trackpoint	N60 03.458 E30 23.708	11/06/2004 09:35:04 	8 m			93 m	0:00:06	56 kph	158° true
Trackpoint	N60 03.433 E30 23.662	11/06/2004 09:35:09 	13 m			65 m	0:00:05	46 kph	222° true
Trackpoint	N60 03.442 E30 23.591	11/06/2004 09:35:14 	15 m			68 m	0:00:05	49 kph	284° true
Trackpoint	N60 03.454 E30 23.568	11/06/2004 09:35:16 	17 m			31 m	0:00:02	55 kph	317° true
Trackpoint	N60 03.554 E30 23.420	11/06/2004 09:35:29 	21 m			231 m	0:00:13	64 kph	324° true
Trackpoint	N60 03.674 E30 23.294	11/06/2004 09:35:41 	24 m			251 m	0:00:12	75 kph	332° true
Trackpoint	N60 03.827 E30 23.185	11/06/2004 09:35:54 	21 m			301 m	0:00:13	83 kph	340° true
