Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	Александрийский столб		User Waypoint	N59 56.336 E30 18.937	15 m				Symbol & Name	Unknown	Waypoint
Waypoint	Гостиница в Репино		User Waypoint	N60 09.782 E29 51.325	-11 m				Symbol & Name	Unknown	Waypoint

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course	Satellites

Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:03:07 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:03:11 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:03:20 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:03:25 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:03:29 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:03:33 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:03:36 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:23:08 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:23:12 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:53:07 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:53:12 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:53:18 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:53:23 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:53:27 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:53:31 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:53:35 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 00:53:39 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 01:43:10 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 01:43:14 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 01:43:18 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 01:43:22 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 01:43:26 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 02:23:08 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 02:23:12 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 02:43:09 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 02:43:13 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 02:53:11 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 02:53:15 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 02:53:19 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
