"id";"id_device";"id_type";"event_dt";"time";"latitude";"longitude";"altitude";"azimuth";"speed";"accelerometer";"fuel";"odometer";"movementsensor";"address";"satellitescount";"hdop";"batterylevel";"state";"from_archive";"odometer_forced";"fuel_expense";"odometer_calculated";"odometer_ext";"sensor_acc";"sensor_odometer";"sos"
1022836526;1438116;0;"2012-09-12 10:32:13.785455";"2012-09-12 10:32:12";55.676392;37.819582;142;234;10.87;;;38803;1;"Москва, ул. Головачева, 25";15;0.8;1;1;0;0;;0;38803;"1";"38788";"0"
1022836554;1438116;0;"2012-09-12 10:32:42.588585";"2012-09-12 10:32:41";55.675967;37.818352;134;216;13.80;;;38915;1;"Москва, ул. Головачева, 23";15;0.8;1;1;0;0;;0;38915;"1";"38895";"0"
1022836573;1438116;0;"2012-09-12 10:33:12.809563";"2012-09-12 10:33:11";55.675007;37.817262;125;150;12.13;;;39061;1;"Москва, ул. Головачева, 23";15;0.8;1;1;0;0;;0;39061;"1";"39034";"0"
1022836600;1438116;0;"2012-09-12 10:33:43.64928";"2012-09-12 10:33:42";55.674582;37.817970;132;148;0.00;;;39130;1;"Москва, ул. Головачева, 23";15;0.8;1;1;0;0;;0;39130;"1";"39100";"0"
1022836627;1438116;0;"2012-09-12 10:34:13.748444";"2012-09-12 10:34:12";55.674162;37.817832;133;228;11.45;;;39187;1;"Москва, ул. Головачева, 23";15;0.8;1;1;0;0;;0;39187;"1";"39154";"0"
1022836650;1438116;0;"2012-09-12 10:34:44.742977";"2012-09-12 10:34:43";55.673482;37.816527;132;220;12.09;;;39305;1;"Москва, ул. Головачева, 23";15;0.8;1;1;0;0;;0;39305;"1";"39266";"0"
1022836670;1438116;0;"2012-09-12 10:35:14.666748";"2012-09-12 10:35:13";55.673007;37.815590;140;246;2.89;;;39389;1;"Москва, ул. Головачева, 23";15;0.8;1;1;0;0;;0;39389;"1";"39346";"0"
1022836691;1438116;0;"2012-09-12 10:35:45.679923";"2012-09-12 10:35:44";55.672862;37.813432;138;266;5.24;;;39535;1;"Москва, ул. Головачева, 17";15;0.8;1;1;0;0;;0;39535;"1";"39485";"0"
1022836718;1438116;0;"2012-09-12 10:36:14.62023";"2012-09-12 10:36:13";55.672757;37.809637;136;266;43.91;;;39787;1;"Москва, ул. Головачева, 13";15;0.8;1;1;0;0;;0;39787;"1";"39725";"0"
1022836739;1438116;0;"2012-09-12 10:36:45.886175";"2012-09-12 10:36:43";55.672645;37.807552;134;222;4.07;;;39927;1;"Москва, ул. Головачева, 11 строение 1";15;0.8;1;1;0;0;;0;39927;"1";"39858";"0"
1022836761;1438116;0;"2012-09-12 10:37:12.121525";"2012-09-12 10:37:10";55.669947;37.807492;133;176;50.54;;;40243;1;"Москва, Чагинская ул., 2";14;0.8;1;1;0;0;;0;40243;"1";"40159";"0"
1022836790;1438116;0;"2012-09-12 10:37:39.309661";"2012-09-12 10:37:29";55.667212;37.807425;134;172;58.63;;;40562;1;"Москва, Чагинская ул., 2";15;0.8;1;1;0;0;;0;40562;"1";"40463";"0"
1022836803;1438116;0;"2012-09-12 10:37:54.466542";"2012-09-12 10:37:45";55.664612;37.808687;134;164;75.01;;;40878;1;"Москва, Чагинская ул., 2";15;0.8;1;1;0;0;;0;40878;"1";"40764";"0"
1022836811;1438116;0;"2012-09-12 10:38:02.040785";"2012-09-12 10:38:00";55.661935;37.810002;135;162;69.38;;;41202;1;"Автомехколонна, Москва, Россия";15;0.8;1;1;0;0;;0;41202;"1";"41073";"0"
1022836846;1438116;0;"2012-09-12 10:38:29.479489";"2012-09-12 10:38:20";55.659215;37.810887;138;160;38.56;;;41531;1;"Москва, Чагинская ул., 12";15;0.8;1;1;0;0;;0;41531;"1";"41386";"0"
1022836879;1438116;0;"2012-09-12 10:38:51.912868";"2012-09-12 10:38:50";55.658675;37.811347;140;148;0.00;;;41601;1;"Москва, Чагинская ул., 13";15;0.8;1;1;0;0;;0;41601;"1";"41453";"0"
1022836914;1438116;0;"2012-09-12 10:39:22.165142";"2012-09-12 10:39:19";55.658070;37.811835;145;150;3.02;;;41680;1;"Москва, Чагинская ул., 13";15;0.8;1;4;0;0;;0;41680;"1";"41528";"0"
1022836947;1438116;0;"2012-09-12 10:39:52.456971";"2012-09-12 10:39:50";55.658067;37.811837;144;150;0.00;;;41680;1;"Москва, Чагинская ул., 13";15;0.8;1;4;0;0;;0;41680;"1";"41528";"0"
1022836982;1438116;0;"2012-09-12 10:40:20.771832";"2012-09-12 10:40:19";55.658067;37.811837;144;150;0.00;;;41681;1;"Москва, Чагинская ул., 13";14;0.8;1;4;0;0;;0;41681;"1";"41529";"0"
1022837026;1438116;0;"2012-09-12 10:40:57.700349";"2012-09-12 10:40:50";55.657317;37.814467;150;92;32.56;;;41900;1;"Москва, ул. Верхние Поля, 18 строение 1";15;0.8;1;1;0;0;;0;41900;"1";"41738";"0"
1022837062;1438116;0;"2012-09-12 10:41:25.435624";"2012-09-12 10:41:20";55.657222;37.816407;152;94;23.15;;;42029;1;"Москва, ул. Верхние Поля, 22 корпус 2";15;0.8;1;1;0;0;;0;42029;"1";"41861";"0"
1022837092;1438116;0;"2012-09-12 10:41:47.68946";"2012-09-12 10:41:46";55.657055;37.821195;152;90;48.37;;;42347;1;"Москва, ул. Верхние Поля, 24 строение б";15;0.8;1;1;0;0;;0;42347;"1";"42164";"0"
1022837130;1438116;0;"2012-09-12 10:42:15.520159";"2012-09-12 10:42:14";55.657007;37.825950;154;90;20.89;;;42661;1;"Москва, ул. Верхние Поля, 56";15;0.8;1;1;0;0;;0;42661;"1";"42463";"0"
1022837169;1438116;0;"2012-09-12 10:42:46.871936";"2012-09-12 10:42:44";55.656957;37.829395;152;88;11.43;;;42890;1;"Москва, ул. Верхние Поля, 56";15;0.8;1;1;0;0;;0;42890;"1";"42681";"0"
1022837214;1438116;0;"2012-09-12 10:43:16.236465";"2012-09-12 10:43:14";55.656907;37.830240;163;94;3.32;;;42946;1;"Москва, ул. Верхние Поля, 56";15;0.8;1;1;0;0;;0;42946;"1";"42734";"0"
1022837279;1438116;0;"2012-09-12 10:44:04.849705";"2012-09-12 10:43:44";55.656925;37.830672;161;86;0.00;;;42975;1;"Москва, ул. Верхние Поля, 56";15;0.8;1;4;0;0;;0;42975;"1";"42762";"0"
1022837310;1438116;0;"2012-09-12 10:44:23.016879";"2012-09-12 10:44:15";55.656922;37.831257;158;88;10.19;;;43014;1;"Москва, ул. Верхние Поля, 56";15;0.8;1;1;0;0;;0;43014;"1";"42799";"0"
1022837370;1438116;0;"2012-09-12 10:45:18.329692";"2012-09-12 10:44:46";55.656907;37.833932;155;82;6.61;;;43190;1;"Москва, ул. Верхние Поля, 56";15;0.8;1;1;0;0;;0;43190;"1";"42967";"0"
1022837373;1438116;0;"2012-09-12 10:45:19.91373";"2012-09-12 10:45:16";55.656912;37.834387;157;78;3.37;;;43220;1;"Москва, ул. Верхние Поля, 56";15;0.8;1;1;0;0;;0;43220;"1";"42996";"0"
